Unnamed: 0,brand_name,watch_name,rating,number_of_reviews,price
149,OLEVS,Watches for Men Chronograph Business Wrist Watches Analog Quartz Moon Phase Stainless Steel Waterproof Luminous Dress Watches,3.9,3600.0,3800.0
150,Casio,Casio Edifice EFR-539D-1AVUDF Analog Black Dial Men Watch Silver Metal Strap (EX191),4.2,2600.0,10995.0
151,TIMEX,Analog Watch for Pair with Round Dial & Water Resistant Couple's Wrist Watches,4.5,68.0,3297.0
152,Fastrack,Trendies Analog Black Dial Men's Watch NM38045PP03/NN38045PP03,4.3,2700.0,1915.0
153,TIMEX,Analog Watch for Men with Round Dial & Water Resistant Man's Wrist Watches,4.5,15.0,2894.0
154,Titan,Analog White Dial Men's Watch NM1639SL03/NN1639SL03,4.2,600.0,3155.0
155,Sonata,Essentials Quartz Analog with Day and Date Silver Dial Silver Stainless Steel Strap Watch for Men - NT77082SM02W,4.3,388.0,1035.0
156,Casio,G-Shock GA-140GB-1A1DR Black & Gold Analog-Digital Dial Black Resin Strap Men's Watch Shock and 200M Water Resistant G1021,4.4,348.0,9994.0
157,Titan,Analog Gold Dial Men's Watch -NM1648YM02 / NL1648YM02/NP1648YM02,4.2,812.0,1695.0
158,GOLDENIZE FASHION,Branded Men's Sport Quartz Watch Ninja Wheel Dial 360 Rotating Casual Fashion Stainless Steel Alloy Mens & Boy's Luxury Metal Gift Creative Watch,4.4,179.0,589.0
159,Fastrack,Analog Men's Watch,4.2,3200.0,639.0
160,Casio,Enticer Analog Dial Watch,4.4,1800.0,3394.0
161,Fastrack,Fastrack Tick Tock Quartz Multifunction Black Dial Brown Leather Strap Watch for Guys – NT3287NL01,4.4,241.0,3595.0
162,Titan,Neo Analog Black Dial Men's Watch-NM1733KM01 / NL1733KM01,4.3,944.0,3709.0
163,Casio,Resin Youth Series Digital Grey Dial Black Strap Unisex Watch - F-94Wa-9Dg(D053),4.4,872.0,1295.0
164,AMERICANVIBER,TST Black Trending Men Collection Double Tone Date Function Working Foldover Lock Analog Watch - for Men (),4.1,24.0,428.0
165,TIMEWEAR,"Analog, Day Date Functioning, Stainless Steel Chain Watch for Men",4.0,249.0,319.0
166,Casio,Analog-Digital Black Dial Men's Watch-GA-2100-1ADR (G986),4.5,647.0,7356.0
167,Casio,G-Shock GX-56BB-1SDR Digital Dial Black Resin Strap Men's Watch Shock and 200M Water Resistant G1056,4.4,218.0,11995.0
168,Casio,Unisex Vintage A168WA-8AYDF Brown Digital Dial Silver Stainless Steel Band D332,4.4,63.0,2995.0
169,Casio,Enticer Analog Black Dial Men's Watch - MTP-VD01G-1BVUDF (A1367),4.3,1400.0,3775.0
170,Fastrack,Quartz Analog Blue Dial Blue Silicone Strap Unisex Watch - NT38024PP69W,4.1,290.0,746.0
171,Titan,Analog Blue Dial Men's Watch-NM1698SM02 / NL1698SM02,4.3,533.0,4495.0
172,Casio,Vintage AQ-230A-3AMQYDF Analog-Digital Green Dial Unisex (AD278),4.1,56.0,3494.0
173,TIMEX,Analog Watch for Man with Round Dial & Water Resistant Men's Wrist Watches,4.4,55.0,4897.0
174,Sonata,Smart Plaid Quartz Analog Blue Dial Silver Stainless Steel Strap Watch for Men - NT77105SM01W,4.4,569.0,1185.0
175,Casio,"Unisex Resin Digital Black Dial Watch-Ws-1400H-1Bvdf, Band Color-Black",4.0,81.0,2995.0
176,LONGBO,Zenith Diamond Analog Watch for Men Business Stainless Steel Watches Luxury Men’s Wristwatch | Birthday Gift for Men | Gift for Husband | Gift for Brother,4.0,205.0,1605.0
177,Sonata,"Aspire Quartz Analog Dial Stainless Steel Strap Watch for Men, Black",4.1,73.0,1844.0
178,BENYAR,Automatic Mechanical Watch for Men | Skeleton Dial Analog Watch | Genuine Leather Strap | 30M Water Resistant | Luxury Men’s Gift Watch,4.0,705.0,3790.0
179,Sonata,Bandhan Quartz Analog Blue Dial Silver Metal Strap Watch for Couple - NS770318141SM01P,4.5,113.0,2994.0
180,Casio,Vintage A700WMG-9ADF Digital Gold Dial Unisex Watch Gold Metal Strap (D171),4.4,374.0,4236.0
181,Fossil,Analog Black Dial Men's Watch-FS6101,4.4,27.0,13495.0
182,Titan,Titan Karishma Quartz Analog Green Dial Brown Leather Strap Watch for Men - NT1823WL02,4.2,222.0,2920.0
183,Seiko,"Seiko Stainless Steel Analog Green Dial Men Watch-Srpd63K1, Bandcolor-Silver",4.6,4900.0,27000.0
184,Titan,Analog White Dial Men's Watch-NM1639SL03 / NL1639SL03,4.1,1200.0,1795.0
185,Sonata,Essentials Analog White Dial Men's Watch-NL77083SM01/NP77083SM01,4.2,2100.0,1099.0
186,Casio,Unisex Vintage A168WEGB-1BDF Black Digital Dial Black Stainless Steel Band D148,4.3,291.0,5294.0
187,Fastrack,Fastrack Stunners Men Analog Watch -3255NM01,4.2,1000.0,1996.0
188,Armani Exchange,Armani Exchange Mens Hampton Stainless Steel Chronograph Watch - AX2164 (Black_Free Size),4.4,1500.0,14216.0
189,Fastrack,Fastrack Trendies Analog Black Dial Men's Watch-38058PP03/NP38058PP03,4.1,853.0,1326.0
190,Casio,G-Shock GA-110GB-1ADR Black & Gold Analog-Digital Dial Black Resin Strap Men's Watch Shock and 200M Water Resistant G339,4.0,456.0,9446.0
191,Fastrack,Fastrack Fastfit Quartz Multifunction White Dial Silver Stainless Steel Strap Watch for Guys - NT3227SM02,4.4,234.0,3970.0
192,Casio,G-Shock GA-2300-1ADR Analog-Digital Black Dial Men Watch Black Resin Strap (G1551),4.1,62.0,8994.0
193,Casio,Youth-Combination Analog-Digital Gold Dial Men's Watch - AEQ-110BW-9AVDF (AD206),4.3,1500.0,3516.0
194,Fossil,"Men Leather Analog Blue Dial Watch-Fs4835Ie, Band Color-Blue",3.7,1800.0,10396.0
195,Fastrack,Autumn-Winter 19 Analog-Digital Orange Dial Men's Watch NM38035SP03/NN38035SP03,4.4,942.0,3745.0
196,Carlington,"Analog Men's Watch with Stainless Steel Chain Strap, Multi-Color Dial Options, Premium Gift Watch for Men – Stylish Casual & Formal Wrist Watch - CT 8811",4.3,703.0,1798.0
